>>> bench-local
# Thu, 22 Feb 2018 16:29:54 +0300
# neotest@rio.kirr.nexedi.com (2401:5180:0:2a::1 192.168.0.6)
# Linux rio 4.15.0-1-amd64 #1 SMP Debian 4.15.4-1 (2018-02-18) x86_64 GNU/Linux
# cpu: Intel(R) Core(TM) i7-3770S CPU @ 3.10GHz
# cpu[0-7]: freq: intel_pstate/performance [1.60GHz - 3.90GHz]
# cpu[0-7]: idle: intel_idle/menu: POLL(0μs) C1(1μs) C1E(10μs) C3(59μs) C6(80μs)
# cpu: WARNING: frequency not fixed - benchmark timings won't be stable
# cpu: WARNING: C-state exit-latency is max 80μs - up to that can add to networked and IPC request-reply latency
# sda: Samsung SSD 840   rev BB0Q 931.5G
# eth0: Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller rev 06
# eth0: features: rx !tx !sg !tso !ufo !gso gro !lro rxvlan txvlan !ntuple !rxhash ...
# eth0: coalesce: rxc: 200μs/4f/0μs-irq/0f-irq,  txc: 200μs/4f/0μs-irq/0f-irq
# eth0: up, speed=1000, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
# eth0: WARNING: TSO not enabled - TCP latency with packets > MSS will be poor
# eth0: WARNING: RX coalesce latency is max 200μs - that will add to networked request-reply latency
# eth1: Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller rev 06
# eth1: features: rx !tx !sg !tso !ufo !gso gro !lro rxvlan txvlan !ntuple !rxhash ...
# eth1: coalesce: rxc: 0μs/1f/0μs-irq/0f-irq,  txc: 0μs/1f/0μs-irq/0f-irq
# eth1: down, speed=?, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
# eth1: WARNING: TSO not enabled - TCP latency with packets > MSS will be poor
# Python 2.7.14+
# go version go1.10 linux/amd64
# sqlite 3.22.0 (py mod 2.6.0)
# mysqld  Ver 10.1.29-MariaDB-6 for debian-linux-gnu on x86_64 (Debian buildd-unstable)
# neo             : v1.8-1552-g4bcbc04d
# zodb            : 5.3.0
# zeo             : 5.1.1
# mysqlclient     : 1.3.12
# wendelin.core   : 0.11

*** cpu:

Benchmarkrio/pystone 1 175562 pystone/s	# POLL·0 C1·9 C1E·7 C3·7 C6·149
Benchmarkrio/pystone 1 185401 pystone/s	# POLL·0 C1·33 C1E·3 C3·6 C6·162
Benchmarkrio/pystone 1 176984 pystone/s	# POLL·0 C1·5 C1E·10 C3·2 C6·178
Benchmarkrio/pystone 1 179955 pystone/s	# POLL·0 C1·8 C1E·6 C3·3 C6·164
Benchmarkrio/pystone 1 182050 pystone/s	# POLL·0 C1·29 C1E·4 C3·4 C6·146
Benchmarkrio/sha1/py/1K 717754	1.545 µs/op	# POLL·0 C1·15 C1E·4 C3·3 C6·184
Benchmarkrio/sha1/py/1K 719389	1.543 µs/op	# POLL·0 C1·4 C1E·8 C3·6 C6·229
Benchmarkrio/sha1/py/1K 719175	1.541 µs/op	# POLL·0 C1·28 C1E·2 C3·3 C6·153
Benchmarkrio/sha1/py/1K 718023	1.544 µs/op	# POLL·0 C1·34 C1E·5 C3·4 C6·179
Benchmarkrio/sha1/py/1K 719010	1.546 µs/op	# POLL·0 C1·16 C1E·7 C3·6 C6·205
Benchmarkrio/sha1/go/1K 1000000	1.788 µs/op	# POLL·0 C1·124 C1E·80 C3·13 C6·428
Benchmarkrio/sha1/go/1K 1000000	1.788 µs/op	# POLL·1 C1·118 C1E·106 C3·29 C6·379
Benchmarkrio/sha1/go/1K 1000000	1.788 µs/op	# POLL·0 C1·97 C1E·78 C3·17 C6·433
Benchmarkrio/sha1/go/1K 1000000	1.785 µs/op	# POLL·0 C1·116 C1E·97 C3·6 C6·411
Benchmarkrio/sha1/go/1K 1000000	1.788 µs/op	# POLL·0 C1·93 C1E·92 C3·15 C6·409
Benchmarkrio/sha1/py/4K 199005	5.045 µs/op	# POLL·0 C1·9 C1E·3 C3·4 C6·190
Benchmarkrio/sha1/py/4K 199388	5.018 µs/op	# POLL·0 C1·14 C1E·0 C3·5 C6·175
Benchmarkrio/sha1/py/4K 199672	5.007 µs/op	# POLL·0 C1·20 C1E·6 C3·1 C6·186
Benchmarkrio/sha1/py/4K 199678	5.009 µs/op	# POLL·0 C1·32 C1E·6 C3·5 C6·169
Benchmarkrio/sha1/py/4K 199588	5.015 µs/op	# POLL·0 C1·0 C1E·7 C3·7 C6·157
Benchmarkrio/sha1/go/4K 200000	7.131 µs/op	# POLL·0 C1·126 C1E·74 C3·9 C6·398
Benchmarkrio/sha1/go/4K 200000	7.145 µs/op	# POLL·0 C1·91 C1E·94 C3·20 C6·355
Benchmarkrio/sha1/go/4K 200000	7.173 µs/op	# POLL·0 C1·114 C1E·116 C3·13 C6·376
Benchmarkrio/sha1/go/4K 200000	7.189 µs/op	# POLL·0 C1·104 C1E·94 C3·17 C6·410
Benchmarkrio/sha1/go/4K 200000	7.141 µs/op	# POLL·0 C1·119 C1E·98 C3·11 C6·385
Benchmarkrio/sha1/py/2M 323	3042.226 µs/op	# POLL·0 C1·27 C1E·8 C3·1 C6·194
Benchmarkrio/sha1/py/2M 323	3043.836 µs/op	# POLL·0 C1·17 C1E·2 C3·5 C6·140
Benchmarkrio/sha1/py/2M 323	3045.132 µs/op	# POLL·0 C1·35 C1E·3 C3·3 C6·211
