>>> bench-local
# Wed, 28 Feb 2018 14:05:12 +0200
# neotest@z600.ivan.nexedi.com (2401:5180:0:10::1 192.168.0.5 (+ 1·ipv4))
# Linux z600-COMP-2717 4.13.0-36-generic #40-Ubuntu SMP Fri Feb 16 20:07:48 UTC 2018 x86_64 x86_64 x86_64 GNU/Linux
# cpu: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz
# cpu[0-11]: freq: acpi-cpufreq/performance [2.66GHz - 2.66GHz]
# cpu[0-11]: idle: intel_idle/menu: POLL(0μs) C1(3μs) C1E(10μs) C3(20μs) C6(200μs)
# cpu: WARNING: C-state exit-latency is max 200μs - up to that can add to networked and IPC request-reply latency
# sda: INTEL SSDSC2CT18  rev 335t 167.7G
# enp1s0: Broadcom Limited NetXtreme BCM5764M Gigabit Ethernet PCIe rev 10
# enp1s0: features: rx tx sg tso !ufo gso gro !lro rxvlan txvlan !ntuple !rxhash ...
# enp1s0: coalesce: rxc: 20μs/5f/0μs-irq/5f-irq,  txc: 72μs/53f/0μs-irq/5f-irq
# enp1s0: up, speed=1000, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
# enp1s0: WARNING: RX coalesce latency is max 20μs - that will add to networked request-reply latency
# Python 2.7.12
# go version go1.10 linux/amd64
# sqlite 3.22.0 (py mod 2.6.0)
# mysqld  Ver 10.1.25-MariaDB-1 for debian-linux-gnu on x86_64 (Ubuntu 17.10)
# neo             : v1.8-1563-gfe8fd50-dirty
# zodb            : 5.3.0
# zeo             : 5.1.1
# mysqlclient     : 1.3.12
# wendelin.core   : 0.11

*** cpu:

Benchmarkz600-COMP-2717/pystone 1 114934 pystone/s	# POLL·0 C1·26 C1E·1 C3·26 C6·211
Benchmarkz600-COMP-2717/pystone 1 114526 pystone/s	# POLL·0 C1·36 C1E·1 C3·20 C6·206
Benchmarkz600-COMP-2717/pystone 1 114001 pystone/s	# POLL·0 C1·38 C1E·1 C3·32 C6·305
Benchmarkz600-COMP-2717/pystone 1 113904 pystone/s	# POLL·0 C1·36 C1E·2 C3·6 C6·219
Benchmarkz600-COMP-2717/pystone 1 114154 pystone/s	# POLL·0 C1·41 C1E·0 C3·21 C6·208
Benchmarkz600-COMP-2717/adler32/py/1K 1023425	1.905 µs/op	# POLL·0 C1·35 C1E·0 C3·19 C6·291
Benchmarkz600-COMP-2717/adler32/py/1K 1038625	1.856 µs/op	# POLL·0 C1·22 C1E·0 C3·22 C6·282
Benchmarkz600-COMP-2717/adler32/py/1K 1034163	1.869 µs/op	# POLL·0 C1·17 C1E·1 C3·22 C6·306
Benchmarkz600-COMP-2717/adler32/py/1K 1016362	1.918 µs/op	# POLL·0 C1·30 C1E·2 C3·27 C6·400
Benchmarkz600-COMP-2717/adler32/py/1K 1044687	1.830 µs/op	# POLL·1 C1·18 C1E·4 C3·27 C6·372
Benchmarkz600-COMP-2717/adler32/go/1K 2000000	0.809 µs/op	# POLL·2 C1·74 C1E·110 C3·89 C6·652
Benchmarkz600-COMP-2717/adler32/go/1K 2000000	0.809 µs/op	# POLL·5 C1·110 C1E·126 C3·80 C6·701
Benchmarkz600-COMP-2717/adler32/go/1K 2000000	0.809 µs/op	# POLL·1 C1·97 C1E·95 C3·81 C6·586
Benchmarkz600-COMP-2717/adler32/go/1K 2000000	0.813 µs/op	# POLL·1 C1·84 C1E·106 C3·89 C6·578
Benchmarkz600-COMP-2717/adler32/go/1K 2000000	0.813 µs/op	# POLL·0 C1·96 C1E·118 C3·84 C6·571
Benchmarkz600-COMP-2717/adler32/py/4K 375964	2.766 µs/op	# POLL·1 C1·16 C1E·1 C3·21 C6·311
Benchmarkz600-COMP-2717/adler32/py/4K 382930	2.725 µs/op	# POLL·2 C1·24 C1E·3 C3·11 C6·226
Benchmarkz600-COMP-2717/adler32/py/4K 382248	2.737 µs/op	# POLL·0 C1·22 C1E·1 C3·18 C6·274
Benchmarkz600-COMP-2717/adler32/py/4K 383542	2.719 µs/op	# POLL·0 C1·24 C1E·0 C3·17 C6·278
Benchmarkz600-COMP-2717/adler32/py/4K 384817	2.700 µs/op	# POLL·0 C1·36 C1E·1 C3·16 C6·245
Benchmarkz600-COMP-2717/adler32/go/4K 500000	3.221 µs/op	# POLL·0 C1·78 C1E·125 C3·86 C6·493
