>>> bench-local
# Wed, 28 Feb 2018 11:14:55 +0200
# neotest@z6001.ivan.nexedi.com (2401:5180:0:6f::1 192.168.0.16)
# Linux z6001-COMP-2784 4.13.0-36-generic #40-Ubuntu SMP Fri Feb 16 20:07:48 UTC 2018 x86_64 x86_64 x86_64 GNU/Linux
# cpu: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz
# cpu[0-23]: freq: acpi-cpufreq/performance [2.66GHz - 2.66GHz]
# cpu[0-23]: idle: intel_idle/menu: POLL(0μs) C1(3μs) C1E(10μs) C3(20μs) C6(200μs)
# cpu: WARNING: C-state exit-latency is max 200μs - up to that can add to networked and IPC request-reply latency
# sda: ADATA SU800       rev 8BS  119,2G
# enp1s0: Broadcom Limited NetXtreme BCM5764M Gigabit Ethernet PCIe rev 10
# enp1s0: features: rx tx sg tso !ufo gso gro !lro rxvlan txvlan !ntuple !rxhash ...
# enp1s0: coalesce: rxc: 20μs/5f/0μs-irq/5f-irq,  txc: 72μs/53f/0μs-irq/5f-irq
# enp1s0: up, speed=1000, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
# enp1s0: WARNING: RX coalesce latency is max 20μs - that will add to networked request-reply latency
# Python 2.7.12
# go version go1.10 linux/amd64
# sqlite 3.22.0 (py mod 2.6.0)
# mysqld  Ver 10.1.25-MariaDB-1 for debian-linux-gnu on x86_64 (Ubuntu 17.10)
# neo             : v1.8-1563-gfe8fd50-dirty
# zodb            : 5.3.0
# zeo             : 5.1.1
# mysqlclient     : 1.3.12
# wendelin.core   : 0.11

*** cpu:

Benchmarkz6001-COMP-2784/pystone 1 112206 pystone/s	# POLL·0 C1·96 C1E·1 C3·23 C6·396
Benchmarkz6001-COMP-2784/pystone 1 114783 pystone/s	# POLL·0 C1·89 C1E·0 C3·15 C6·461
Benchmarkz6001-COMP-2784/pystone 1 114558 pystone/s	# POLL·1 C1·87 C1E·7 C3·27 C6·490
Benchmarkz6001-COMP-2784/pystone 1 113271 pystone/s	# POLL·0 C1·80 C1E·0 C3·17 C6·389
Benchmarkz6001-COMP-2784/pystone 1 115634 pystone/s	# POLL·0 C1·74 C1E·3 C3·19 C6·468
Benchmarkz6001-COMP-2784/adler32/py/1K 1030151	1.873 µs/op	# POLL·3 C1·76 C1E·0 C3·16 C6·720
Benchmarkz6001-COMP-2784/adler32/py/1K 1029699	1.883 µs/op	# POLL·0 C1·74 C1E·2 C3·18 C6·771
Benchmarkz6001-COMP-2784/adler32/py/1K 1019070	1.926 µs/op	# POLL·0 C1·67 C1E·0 C3·27 C6·817
Benchmarkz6001-COMP-2784/adler32/py/1K 1044420	1.862 µs/op	# POLL·4 C1·99 C1E·2 C3·11 C6·566
Benchmarkz6001-COMP-2784/adler32/py/1K 1027432	2.561 µs/op	# POLL·0 C1·107 C1E·1 C3·25 C6·510
Benchmarkz6001-COMP-2784/adler32/go/1K 2000000	0.851 µs/op	# POLL·6 C1·189 C1E·138 C3·125 C6·1156
Benchmarkz6001-COMP-2784/adler32/go/1K 2000000	0.809 µs/op	# POLL·1 C1·207 C1E·111 C3·81 C6·1302
Benchmarkz6001-COMP-2784/adler32/go/1K 2000000	0.812 µs/op	# POLL·1 C1·145 C1E·146 C3·88 C6·1110
Benchmarkz6001-COMP-2784/adler32/go/1K 2000000	0.810 µs/op	# POLL·3 C1·196 C1E·130 C3·111 C6·1243
Benchmarkz6001-COMP-2784/adler32/go/1K 2000000	0.809 µs/op	# POLL·4 C1·162 C1E·141 C3·87 C6·1203
Benchmarkz6001-COMP-2784/adler32/py/4K 382821	2.728 µs/op	# POLL·0 C1·80 C1E·3 C3·15 C6·357
Benchmarkz6001-COMP-2784/adler32/py/4K 383204	2.801 µs/op	# POLL·0 C1·78 C1E·1 C3·18 C6·397
Benchmarkz6001-COMP-2784/adler32/py/4K 384119	2.710 µs/op	# POLL·2 C1·82 C1E·1 C3·22 C6·519
Benchmarkz6001-COMP-2784/adler32/py/4K 384726	2.700 µs/op	# POLL·0 C1·141 C1E·5 C3·20 C6·468
Benchmarkz6001-COMP-2784/adler32/py/4K 384477	2.708 µs/op	# POLL·1 C1·93 C1E·3 C3·16 C6·485
Benchmarkz6001-COMP-2784/adler32/go/4K 500000	3.217 µs/op	# POLL·3 C1·212 C1E·110 C3·80 C6·923
Benchmarkz6001-COMP-2784/adler32/go/4K 500000	3.218 µs/op	# POLL·0 C1·185 C1E·142 C3·92 C6·924
Benchmarkz6001-COMP-2784/adler32/go/4K 500000	3.221 µs/op	# POLL·2 C1·130 C1E·123 C3·113 C6·953
Benchmarkz6001-COMP-2784/adler32/go/4K 500000	3.217 µs/op	# POLL·2 C1·189 C1E·108 C3·96 C6·882
Benchmarkz6001-COMP-2784/adler32/go/4K 500000	3.220 µs/op	# POLL·1 C1·175 C1E·121 C3·74 C6·758
Benchmarkz6001-COMP-2784/adler32/py/2M 857	1221.171 µs/op	# POLL·3 C1·76 C1E·3 C3·25 C6·498
Benchmarkz6001-COMP-2784/adler32/py/2M 856	1226.373 µs/op	# POLL·2 C1·79 C1E·11 C3·22 C6·505
Benchmarkz6001-COMP-2784/adler32/py/2M 854	1231.107 µs/op	# POLL·1 C1·72 C1E·1 C3·19 C6·515
Benchmarkz6001-COMP-2784/adler32/py/2M 855	1229.210 µs/op	# POLL·0 C1·73 C1E·2 C3·20 C6·457
Benchmarkz6001-COMP-2784/adler32/py/2M 775	1418.317 µs/op	# POLL·2 C1·104 C1E·1 C3·12 C6·564
Benchmarkz6001-COMP-2784/adler32/go/2M 1000	1620.305 µs/op	# POLL·0 C1·132 C1E·123 C3·49 C6·982
Benchmarkz6001-COMP-2784/adler32/go/2M 1000	1628.984 µs/op	# POLL·1 C1·145 C1E·123 C3·51 C6·1011
Benchmarkz6001-COMP-2784/adler32/go/2M 1000	1665.554 µs/op	# POLL·4 C1·177 C1E·134 C3·54 C6·1025
Benchmarkz6001-COMP-2784/adler32/go/2M 1000	1621.504 µs/op	# POLL·2 C1·168 C1E·144 C3·58 C6·931
Benchmarkz6001-COMP-2784/adler32/go/2M 1000	1630.251 µs/op	# POLL·2 C1·169 C1E·132 C3·62 C6·1129
Benchmarkz6001-COMP-2784/crc32/py/1K 637145	1.719 µs/op	# POLL·0 C1·100 C1E·2 C3·10 C6·432
Benchmarkz6001-COMP-2784/crc32/py/1K 641642	1.699 µs/op	# POLL·1 C1·81 C1E·2 C3·15 C6·466
Benchmarkz6001-COMP-2784/crc32/py/1K 639280	1.902 µs/op	# POLL·0 C1·73 C1E·0 C3·13 C6·453
Benchmarkz6001-COMP-2784/crc32/py/1K 620771	1.783 µs/op	# POLL·2 C1·98 C1E·2 C3·19 C6·507
Benchmarkz6001-COMP-2784/crc32/py/1K 637511	1.722 µs/op	# POLL·3 C1·102 C1E·1 C3·21 C6·826
Benchmarkz6001-COMP-2784/crc32/go/1K 3000000	0.553 µs/op	# POLL·9 C1·165 C1E·212 C3·125 C6·1428
Benchmarkz6001-COMP-2784/crc32/go/1K 3000000	0.458 µs/op	# POLL·3 C1·184 C1E·166 C3·106 C6·1058
Benchmarkz6001-COMP-2784/crc32/go/1K 3000000	0.459 µs/op	# POLL·3 C1·163 C1E·98 C3·88 C6·1150
Benchmarkz6001-COMP-2784/crc32/go/1K 3000000	0.460 µs/op	# POLL·5 C1·164 C1E·122 C3·87 C6·1161
Benchmarkz6001-COMP-2784/crc32/go/1K 3000000	0.458 µs/op	# POLL·0 C1·171 C1E·130 C3·80 C6·1172
Benchmarkz6001-COMP-2784/crc32/py/4K 197747	5.113 µs/op	# POLL·2 C1·83 C1E·0 C3·13 C6·430
Benchmarkz6001-COMP-2784/crc32/py/4K 197889	5.105 µs/op	# POLL·0 C1·101 C1E·2 C3·16 C6·414
Benchmarkz6001-COMP-2784/crc32/py/4K 196963	5.123 µs/op	# POLL·0 C1·97 C1E·1 C3·11 C6·489
Benchmarkz6001-COMP-2784/crc32/py/4K 197719	5.113 µs/op	# POLL·2 C1·92 C1E·0 C3·13 C6·456
Benchmarkz6001-COMP-2784/crc32/py/4K 198019	5.099 µs/op	# POLL·2 C1·80 C1E·0 C3·11 C6·465
Benchmarkz6001-COMP-2784/crc32/go/4K 1000000	1.760 µs/op	# POLL·5 C1·227 C1E·93 C3·66 C6·932
Benchmarkz6001-COMP-2784/crc32/go/4K 1000000	1.723 µs/op	# POLL·3 C1·144 C1E·132 C3·65 C6·1003
Benchmarkz6001-COMP-2784/crc32/go/4K 1000000	1.722 µs/op	# POLL·3 C1·155 C1E·114 C3·101 C6·892
Benchmarkz6001-COMP-2784/crc32/go/4K 1000000	1.747 µs/op	# POLL·6 C1·155 C1E·133 C3·82 C6·953
Benchmarkz6001-COMP-2784/crc32/go/4K 1000000	1.829 µs/op	# POLL·1 C1·145 C1E·129 C3·96 C6·920
Benchmarkz6001-COMP-2784/crc32/py/2M 419	2831.774 µs/op	# POLL·0 C1·69 C1E·1 C3·15 C6·567
Benchmarkz6001-COMP-2784/crc32/py/2M 420	2829.335 µs/op	# POLL·0 C1·84 C1E·0 C3·15 C6·526
Benchmarkz6001-COMP-2784/crc32/py/2M 420	2828.956 µs/op	# POLL·0 C1·107 C1E·0 C3·18 C6·549
Benchmarkz6001-COMP-2784/crc32/py/2M 419	2831.978 µs/op	# POLL·1 C1·74 C1E·4 C3·4 C6·476
Benchmarkz6001-COMP-2784/crc32/py/2M 420	2828.157 µs/op	# POLL·2 C1·89 C1E·1 C3·10 C6·513
Benchmarkz6001-COMP-2784/crc32/go/2M 2000	864.167 µs/op	# POLL·0 C1·175 C1E·125 C3·81 C6·962
Benchmarkz6001-COMP-2784/crc32/go/2M 2000	865.351 µs/op	# POLL·2 C1·163 C1E·106 C3·56 C6·834
Benchmarkz6001-COMP-2784/crc32/go/2M 2000	998.145 µs/op	# POLL·2 C1·150 C1E·126 C3·60 C6·1053
Benchmarkz6001-COMP-2784/crc32/go/2M 2000	864.890 µs/op	# POLL·1 C1·194 C1E·116 C3·53 C6·991
Benchmarkz6001-COMP-2784/crc32/go/2M 2000	864.827 µs/op	# POLL·1 C1·148 C1E·121 C3·63 C6·994
Benchmarkz6001-COMP-2784/sha1/py/1K 421704	2.810 µs/op	# POLL·2 C1·106 C1E·3 C3·7 C6·484
Benchmarkz6001-COMP-2784/sha1/py/1K 422781	2.824 µs/op	# POLL·2 C1·74 C1E·4 C3·10 C6·516
Benchmarkz6001-COMP-2784/sha1/py/1K 425902	2.732 µs/op	# POLL·0 C1·79 C1E·0 C3·17 C6·498
Benchmarkz6001-COMP-2784/sha1/py/1K 426514	2.859 µs/op	# POLL·2 C1·90 C1E·3 C3·16 C6·513
Benchmarkz6001-COMP-2784/sha1/py/1K 429737	2.707 µs/op	# POLL·0 C1·92 C1E·0 C3·15 C6·487
Benchmarkz6001-COMP-2784/sha1/go/1K 500000	2.595 µs/op	# POLL·2 C1·197 C1E·122 C3·86 C6·941
Benchmarkz6001-COMP-2784/sha1/go/1K 500000	2.595 µs/op	# POLL·1 C1·185 C1E·125 C3·109 C6·995
Benchmarkz6001-COMP-2784/sha1/go/1K 500000	2.595 µs/op	# POLL·4 C1·170 C1E·117 C3·113 C6·983
Benchmarkz6001-COMP-2784/sha1/go/1K 500000	2.595 µs/op	# POLL·3 C1·124 C1E·128 C3·132 C6·1035
Benchmarkz6001-COMP-2784/sha1/go/1K 500000	2.595 µs/op	# POLL·4 C1·190 C1E·137 C3·61 C6·904
