>>> bench-local

*** neotest: node
date:	Mon, 05 Mar 2018 13:49:57 +0300
xnode:	kirr@deco.navytux.spb.ru (2401:5180:0:37::1 192.168.0.2)
uname:	Linux deco 4.15.0-1-amd64 #1 SMP Debian 4.15.4-1 (2018-02-18) x86_64 GNU/Linux
cpu:	Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz
cpu/[0-3]/freq: intel_pstate/performance [2.60GHz - 2.60GHz]
cpu/[0-3]/idle: intel_idle/menu: POLL(0μs) C1(2μs) C1E(10μs) C3(70μs) C6(85μs) C7s(124μs) C8(200μs) C9(480μs) C10(890μs)
WARNING: cpu: C-state exit-latency is max 890μs - up to that can add to networked and IPC request-reply latency
disk/sda: SanDisk X400 M.2  rev 0012  477G
nic/eth0: Intel Corporation Ethernet Connection I219-LM rev 21
nic/eth0/features: rx tx sg tso !ufo gso gro !lro rxvlan txvlan !ntuple rxhash ...
nic/eth0/coalesce: rxc: 3μs/0f/0μs-irq/0f-irq,  txc: 0μs/0f/0μs-irq/0f-irq
nic/eth0/status:   up, speed=1000, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
nic/wlan0: Intel Corporation Wireless 8260 rev 3a
nic/wlan0/features: !rx !tx sg !tso !ufo gso gro !lro !rxvlan !txvlan !ntuple !rxhash ...
nic/wlan0/coalesce: rxc: ?,  txc: ?
nic/wlan0/status:   down, speed=?, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
WARNING: nic/wlan0: TSO not enabled - TCP latency with packets > MSS will be poor
sw/python:          Python 2.7.14
sw/go:              go version go1.10 linux/amd64
sw/sqlite:          sqlite 3.22.0 (py mod 2.6.0)
sw/mysqld:          mysqld  Ver 10.1.29-MariaDB-6 for debian-linux-gnu on x86_64 (Debian buildd-unstable)
sw/neo:             v1.8.1-1579-g916782b6-dirty
sw/zodb:            5.3.0-12-g2115c90aa
sw/zeo:             5.1.1-7-gf9e4442d
sw/mysqlclient:     1.3.12
sw/wendelin.core:   v0.11-15-gf785ac0

*** cpu:

node:	deco
cluster:
Benchmarkpystone 1 218772 pystone/s	# POLL·0 C1·1 C1E·3 C3·13 C6·34 C7s·0 C8·61 C9·0 C10·4
Benchmarkpystone 1 219149 pystone/s	# POLL·0 C1·2 C1E·0 C3·4 C6·43 C7s·0 C8·63 C9·0 C10·17
Benchmarkpystone 1 221405 pystone/s	# POLL·0 C1·0 C1E·2 C3·9 C6·51 C7s·0 C8·57 C9·0 C10·5
Benchmarkpystone 1 223209 pystone/s	# POLL·1 C1·1 C1E·6 C3·9 C6·49 C7s·0 C8·56 C9·0 C10·4
Benchmarkpystone 1 213764 pystone/s	# POLL·0 C1·3 C1E·3 C3·12 C6·44 C7s·0 C8·70 C9·0 C10·9
Benchmarkadler32/py/1K 1333421	1.123 µs/op	# POLL·0 C1·7 C1E·67 C3·5 C6·39 C7s·0 C8·84 C9·0 C10·69
Benchmarkadler32/py/1K 1339032	1.114 µs/op	# POLL·0 C1·3 C1E·4 C3·12 C6·39 C7s·0 C8·91 C9·0 C10·74
Benchmarkadler32/py/1K 1343561	1.107 µs/op	# POLL·0 C1·1 C1E·4 C3·7 C6·46 C7s·0 C8·108 C9·0 C10·100
Benchmarkadler32/py/1K 1321762	1.129 µs/op	# POLL·0 C1·0 C1E·18 C3·17 C6·49 C7s·0 C8·98 C9·0 C10·122
Benchmarkadler32/py/1K 1345612	1.101 µs/op	# POLL·0 C1·1 C1E·1 C3·6 C6·45 C7s·0 C8·99 C9·0 C10·79
Benchmarkadler32/go/1K 3000000	0.561 µs/op	# POLL·1 C1·71 C1E·113 C3·15 C6·80 C7s·2 C8·123 C9·0 C10·284
Benchmarkadler32/go/1K 3000000	0.561 µs/op	# POLL·1 C1·74 C1E·66 C3·12 C6·86 C7s·0 C8·120 C9·0 C10·273
Benchmarkadler32/go/1K 3000000	0.561 µs/op	# POLL·2 C1·95 C1E·74 C3·22 C6·83 C7s·0 C8·129 C9·0 C10·273
Benchmarkadler32/go/1K 3000000	0.561 µs/op	# POLL·4 C1·74 C1E·79 C3·29 C6·59 C7s·0 C8·121 C9·0 C10·296
Benchmarkadler32/go/1K 3000000	0.561 µs/op	# POLL·1 C1·71 C1E·77 C3·18 C6·80 C7s·0 C8·112 C9·0 C10·291
Benchmarkadler32/py/4K 471693	2.246 µs/op	# POLL·0 C1·4 C1E·9 C3·7 C6·31 C7s·0 C8·99 C9·0 C10·66
Benchmarkadler32/py/4K 471557	2.248 µs/op	# POLL·0 C1·0 C1E·2 C3·12 C6·46 C7s·0 C8·88 C9·0 C10·50
Benchmarkadler32/py/4K 470494	2.253 µs/op	# POLL·0 C1·4 C1E·18 C3·16 C6·46 C7s·0 C8·107 C9·0 C10·53
Benchmarkadler32/py/4K 469907	2.256 µs/op	# POLL·0 C1·0 C1E·5 C3·16 C6·47 C7s·0 C8·95 C9·0 C10·71
Benchmarkadler32/py/4K 471601	2.243 µs/op	# POLL·0 C1·209 C1E·18 C3·15 C6·36 C7s·0 C8·99 C9·0 C10·73
Benchmarkadler32/go/4K 1000000	2.190 µs/op	# POLL·0 C1·55 C1E·77 C3·15 C6·68 C7s·0 C8·102 C9·0 C10·298
Benchmarkadler32/go/4K 1000000	2.191 µs/op	# POLL·0 C1·61 C1E·72 C3·15 C6·72 C7s·0 C8·110 C9·0 C10·259
Benchmarkadler32/go/4K 1000000	2.196 µs/op	# POLL·3 C1·76 C1E·83 C3·21 C6·81 C7s·0 C8·131 C9·0 C10·274
Benchmarkadler32/go/4K 1000000	2.191 µs/op	# POLL·0 C1·66 C1E·67 C3·24 C6·79 C7s·0 C8·135 C9·0 C10·287
Benchmarkadler32/go/4K 1000000	2.192 µs/op	# POLL·1 C1·64 C1E·80 C3·13 C6·86 C7s·0 C8·134 C9·0 C10·255
Benchmarkadler32/py/2M 1090	1677.149 µs/op	# POLL·0 C1·1 C1E·6 C3·11 C6·61 C7s·0 C8·113 C9·0 C10·91
Benchmarkadler32/py/2M 1092	1673.964 µs/op	# POLL·0 C1·1 C1E·21 C3·22 C6·48 C7s·0 C8·130 C9·0 C10·97
Benchmarkadler32/py/2M 1083	1701.444 µs/op	# POLL·0 C1·1 C1E·6 C3·6 C6·49 C7s·0 C8·132 C9·0 C10·96
Benchmarkadler32/py/2M 1089	1681.695 µs/op	# POLL·0 C1·1 C1E·5 C3·10 C6·52 C7s·0 C8·131 C9·0 C10·73
Benchmarkadler32/py/2M 1088	1683.548 µs/op	# POLL·0 C1·0 C1E·7 C3·9 C6·47 C7s·0 C8·98 C9·0 C10·102
Benchmarkadler32/go/2M 2000	1121.757 µs/op	# POLL·1 C1·50 C1E·103 C3·18 C6·61 C7s·0 C8·131 C9·0 C10·302
Benchmarkadler32/go/2M 2000	1119.384 µs/op	# POLL·0 C1·47 C1E·59 C3·7 C6·79 C7s·0 C8·110 C9·0 C10·282
Benchmarkadler32/go/2M 2000	1118.291 µs/op	# POLL·2 C1·55 C1E·69 C3·13 C6·66 C7s·0 C8·139 C9·0 C10·280
Benchmarkadler32/go/2M 2000	1119.691 µs/op	# POLL·1 C1·43 C1E·116 C3·26 C6·70 C7s·0 C8·109 C9·0 C10·313
Benchmarkadler32/go/2M 2000	1117.916 µs/op	# POLL·0 C1·18 C1E·60 C3·23 C6·83 C7s·1 C8·189 C9·0 C10·386
Benchmarkcrc32/py/1K 775442	1.328 µs/op	# POLL·0 C1·2 C1E·5 C3·14 C6·38 C7s·0 C8·75 C9·0 C10·103
Benchmarkcrc32/py/1K 774996	1.331 µs/op	# POLL·0 C1·1 C1E·0 C3·9 C6·37 C7s·0 C8·72 C9·0 C10·72
Benchmarkcrc32/py/1K 775934	1.327 µs/op	# POLL·0 C1·0 C1E·7 C3·12 C6·44 C7s·0 C8·82 C9·0 C10·62
Benchmarkcrc32/py/1K 771001	1.348 µs/op	# POLL·0 C1·2 C1E·22 C3·21 C6·48 C7s·0 C8·105 C9·0 C10·66
Benchmarkcrc32/py/1K 779484	1.314 µs/op	# POLL·0 C1·0 C1E·7 C3·13 C6·41 C7s·0 C8·82 C9·0 C10·44
Benchmarkcrc32/go/1K 20000000	0.092 µs/op	# POLL·1 C1·111 C1E·61 C3·10 C6·89 C7s·0 C8·116 C9·0 C10·223
Benchmarkcrc32/go/1K 20000000	0.092 µs/op	# POLL·1 C1·101 C1E·70 C3·17 C6·69 C7s·0 C8·122 C9·0 C10·234
Benchmarkcrc32/go/1K 20000000	0.092 µs/op	# POLL·0 C1·99 C1E·81 C3·12 C6·66 C7s·0 C8·107 C9·0 C10·228
Benchmarkcrc32/go/1K 20000000	0.092 µs/op	# POLL·1 C1·91 C1E·72 C3·23 C6·78 C7s·0 C8·111 C9·0 C10·244
Benchmarkcrc32/go/1K 20000000	0.092 µs/op	# POLL·1 C1·87 C1E·85 C3·12 C6·82 C7s·0 C8·139 C9·0 C10·231
Benchmarkcrc32/py/4K 229044	5.715 µs/op	# POLL·0 C1·0 C1E·5 C3·11 C6·46 C7s·0 C8·80 C9·0 C10·88
Benchmarkcrc32/py/4K 228671	5.730 µs/op	# POLL·0 C1·1 C1E·11 C3·18 C6·39 C7s·0 C8·89 C9·0 C10·92
Benchmarkcrc32/py/4K 229194	5.718 µs/op	# POLL·0 C1·1 C1E·2 C3·9 C6·53 C7s·0 C8·109 C9·0 C10·84
Benchmarkcrc32/py/4K 228585	5.739 µs/op	# POLL·0 C1·2 C1E·23 C3·6 C6·52 C7s·0 C8·102 C9·0 C10·78
Benchmarkcrc32/py/4K 228888	5.722 µs/op	# POLL·0 C1·1 C1E·6 C3·10 C6·36 C7s·0 C8·86 C9·0 C10·77
Benchmarkcrc32/go/4K 5000000	0.278 µs/op	# POLL·0 C1·99 C1E·53 C3·13 C6·87 C7s·0 C8·96 C9·0 C10·199
Benchmarkcrc32/go/4K 5000000	0.279 µs/op	# POLL·2 C1·95 C1E·67 C3·12 C6·111 C7s·0 C8·202 C9·0 C10·228
Benchmarkcrc32/go/4K 5000000	0.279 µs/op	# POLL·1 C1·90 C1E·81 C3·30 C6·83 C7s·0 C8·162 C9·0 C10·276
Benchmarkcrc32/go/4K 5000000	0.279 µs/op	# POLL·0 C1·85 C1E·79 C3·17 C6·84 C7s·0 C8·128 C9·0 C10·221
Benchmarkcrc32/go/4K 5000000	0.279 µs/op	# POLL·1 C1·85 C1E·108 C3·12 C6·72 C7s·0 C8·152 C9·0 C10·203
Benchmarkcrc32/py/2M 484	2127.572 µs/op	# POLL·0 C1·0 C1E·2 C3·12 C6·51 C7s·0 C8·84 C9·0 C10·85
Benchmarkcrc32/py/2M 484	2123.249 µs/op	# POLL·1 C1·2 C1E·2 C3·14 C6·40 C7s·0 C8·82 C9·0 C10·72
Benchmarkcrc32/py/2M 485	2121.662 µs/op	# POLL·0 C1·0 C1E·3 C3·12 C6·57 C7s·0 C8·134 C9·0 C10·121
Benchmarkcrc32/py/2M 485	2122.624 µs/op	# POLL·0 C1·0 C1E·26 C3·24 C6·45 C7s·0 C8·102 C9·0 C10·74
Benchmarkcrc32/py/2M 485	2123.161 µs/op	# POLL·0 C1·1 C1E·4 C3·5 C6·49 C7s·0 C8·117 C9·0 C10·83
Benchmarkcrc32/go/2M 10000	162.862 µs/op	# POLL·0 C1·53 C1E·78 C3·15 C6·61 C7s·0 C8·113 C9·0 C10·187
Benchmarkcrc32/go/2M 10000	156.857 µs/op	# POLL·0 C1·57 C1E·52 C3·10 C6·86 C7s·0 C8·103 C9·0 C10·178
Benchmarkcrc32/go/2M 10000	157.365 µs/op	# POLL·0 C1·69 C1E·87 C3·17 C6·53 C7s·0 C8·107 C9·0 C10·194
Benchmarkcrc32/go/2M 10000	163.373 µs/op	# POLL·0 C1·57 C1E·77 C3·18 C6·73 C7s·0 C8·122 C9·0 C10·185
Benchmarkcrc32/go/2M 10000	161.714 µs/op	# POLL·1 C1·61 C1E·74 C3·9 C6·71 C7s·0 C8·105 C9·0 C10·198
Benchmarksha1/py/1K 618583	1.825 µs/op	# POLL·0 C1·2 C1E·9 C3·4 C6·44 C7s·0 C8·99 C9·0 C10·65
Benchmarksha1/py/1K 619063	1.825 µs/op	# POLL·0 C1·0 C1E·2 C3·3 C6·58 C7s·0 C8·81 C9·0 C10·81
Benchmarksha1/py/1K 612019	1.869 µs/op	# POLL·1 C1·1 C1E·8 C3·21 C6·45 C7s·0 C8·96 C9·0 C10·51
Benchmarksha1/py/1K 617246	1.830 µs/op	# POLL·0 C1·1 C1E·9 C3·15 C6·35 C7s·0 C8·85 C9·0 C10·64
Benchmarksha1/py/1K 612252	1.868 µs/op	# POLL·0 C1·1 C1E·33 C3·18 C6·36 C7s·0 C8·102 C9·0 C10·65
Benchmarksha1/go/1K 1000000	1.526 µs/op	# POLL·1 C1·78 C1E·84 C3·22 C6·61 C7s·0 C8·99 C9·0 C10·173
Benchmarksha1/go/1K 1000000	1.526 µs/op	# POLL·1 C1·78 C1E·83 C3·20 C6·55 C7s·0 C8·93 C9·0 C10·191
Benchmarksha1/go/1K 1000000	1.527 µs/op	# POLL·1 C1·62 C1E·65 C3·14 C6·72 C7s·0 C8·122 C9·0 C10·192
Benchmarksha1/go/1K 1000000	1.526 µs/op	# POLL·1 C1·65 C1E·78 C3·15 C6·43 C7s·0 C8·122 C9·0 C10·198
Benchmarksha1/go/1K 1000000	1.525 µs/op	# POLL·0 C1·88 C1E·72 C3·16 C6·64 C7s·0 C8·119 C9·0 C10·189
Benchmarksha1/py/4K 172910	6.693 µs/op	# POLL·0 C1·3 C1E·3 C3·13 C6·41 C7s·0 C8·104 C9·0 C10·63
Benchmarksha1/py/4K 172872	6.688 µs/op	# POLL·0 C1·1 C1E·7 C3·15 C6·47 C7s·0 C8·155 C9·0 C10·169
Benchmarksha1/py/4K 172787	6.689 µs/op	# POLL·1 C1·0 C1E·4 C3·11 C6·62 C7s·0 C8·102 C9·0 C10·96
Benchmarksha1/py/4K 172941	6.690 µs/op	# POLL·0 C1·0 C1E·7 C3·11 C6·55 C7s·0 C8·107 C9·0 C10·96
Benchmarksha1/py/4K 172687	6.702 µs/op	# POLL·0 C1·0 C1E·3 C3·13 C6·36 C7s·0 C8·109 C9·0 C10·75
Benchmarksha1/go/4K 300000	5.588 µs/op	# POLL·0 C1·76 C1E·80 C3·17 C6·54 C7s·0 C8·132 C9·0 C10·217
Benchmarksha1/go/4K 300000	5.588 µs/op	# POLL·0 C1·74 C1E·73 C3·11 C6·60 C7s·0 C8·121 C9·0 C10·194
Benchmarksha1/go/4K 300000	5.587 µs/op	# POLL·0 C1·68 C1E·69 C3·20 C6·60 C7s·0 C8·121 C9·0 C10·210
Benchmarksha1/go/4K 300000	5.588 µs/op	# POLL·0 C1·80 C1E·61 C3·18 C6·78 C7s·0 C8·98 C9·0 C10·197
Benchmarksha1/go/4K 300000	5.585 µs/op	# POLL·0 C1·63 C1E·76 C3·18 C6·60 C7s·0 C8·127 C9·0 C10·218
Benchmarksha1/py/2M 354	3181.139 µs/op	# POLL·0 C1·1 C1E·21 C3·19 C6·56 C7s·0 C8·115 C9·0 C10·89
Benchmarksha1/py/2M 354	3180.604 µs/op	# POLL·0 C1·2 C1E·8 C3·13 C6·51 C7s·0 C8·107 C9·0 C10·100
Benchmarksha1/py/2M 354	3179.227 µs/op	# POLL·0 C1·2 C1E·3 C3·9 C6·43 C7s·0 C8·143 C9·0 C10·87
Benchmarksha1/py/2M 354	3186.865 µs/op	# POLL·0 C1·1 C1E·4 C3·12 C6·56 C7s·0 C8·138 C9·0 C10·98
Benchmarksha1/py/2M 354	3185.287 µs/op	# POLL·1 C1·1 C1E·20 C3·17 C6·56 C7s·0 C8·120 C9·0 C10·107
Benchmarksha1/go/2M 500	2776.237 µs/op	# POLL·0 C1·26 C1E·72 C3·27 C6·63 C7s·0 C8·125 C9·0 C10·234
Benchmarksha1/go/2M 500	2778.861 µs/op	# POLL·0 C1·62 C1E·56 C3·20 C6·57 C7s·0 C8·113 C9·0 C10·242
Benchmarksha1/go/2M 500	2775.019 µs/op	# POLL·1 C1·41 C1E·64 C3·16 C6·83 C7s·0 C8·125 C9·0 C10·226
Benchmarksha1/go/2M 500	2774.801 µs/op	# POLL·1 C1·44 C1E·128 C3·22 C6·54 C7s·0 C8·107 C9·0 C10·238
Benchmarksha1/go/2M 500	2777.406 µs/op	# POLL·0 C1·35 C1E·90 C3·12 C6·86 C7s·0 C8·127 C9·0 C10·209
Benchmarkunzlib/py/null-1K 357723	3.006 µs/op	# POLL·0 C1·0 C1E·11 C3·7 C6·44 C7s·0 C8·109 C9·0 C10·62
Benchmarkunzlib/py/null-1K 375038	2.837 µs/op	# POLL·0 C1·0 C1E·5 C3·11 C6·48 C7s·0 C8·84 C9·0 C10·71
Benchmarkunzlib/py/null-1K 371098	2.899 µs/op	# POLL·1 C1·1 C1E·6 C3·16 C6·37 C7s·0 C8·78 C9·0 C10·57
Benchmarkunzlib/py/null-1K 371286	2.895 µs/op	# POLL·0 C1·0 C1E·2 C3·7 C6·42 C7s·0 C8·91 C9·0 C10·68
Benchmarkunzlib/py/null-1K 370942	2.899 µs/op	# POLL·0 C1·0 C1E·4 C3·14 C6·43 C7s·0 C8·68 C9·0 C10·69
Benchmarkunzlib/go/null-1K 500000	2.873 µs/op	# POLL·0 C1·287 C1E·204 C3·48 C6·143 C7s·0 C8·660 C9·0 C10·362
Benchmarkunzlib/go/null-1K 500000	2.901 µs/op	# POLL·3 C1·783 C1E·253 C3·72 C6·281 C7s·0 C8·831 C9·0 C10·272
Benchmarkunzlib/go/null-1K 500000	2.877 µs/op	# POLL·1 C1·229 C1E·165 C3·33 C6·163 C7s·0 C8·881 C9·0 C10·248
Benchmarkunzlib/go/null-1K 500000	2.883 µs/op	# POLL·3 C1·208 C1E·225 C3·44 C6·167 C7s·0 C8·879 C9·1 C10·256
Benchmarkunzlib/go/null-1K 500000	2.876 µs/op	# POLL·1 C1·171 C1E·170 C3·35 C6·155 C7s·0 C8·908 C9·0 C10·229
Benchmarkunzlib/py/null-4K 91869	11.580 µs/op	# POLL·1 C1·2 C1E·13 C3·16 C6·40 C7s·2 C8·127 C9·0 C10·164
Benchmarkunzlib/py/null-4K 93783	11.387 µs/op	# POLL·1 C1·3 C1E·15 C3·15 C6·61 C7s·1 C8·235 C9·0 C10·205
