>>> bench-cluster neotest@rio:1

*** neotest: node: (server)
date:	Mon, 05 Mar 2018 15:16:47 +0300
xnode:	kirr@deco.navytux.spb.ru (2401:5180:0:37::1 192.168.0.2)
uname:	Linux deco 4.15.0-1-amd64 #1 SMP Debian 4.15.4-1 (2018-02-18) x86_64 GNU/Linux
cpu:	Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz
cpu/[0-3]/freq: intel_pstate/performance [2.60GHz - 2.60GHz]
cpu/[0-3]/idle: intel_idle/menu: POLL(0μs) C1(2μs) C1E(10μs) C3(70μs) C6(85μs) C7s(124μs) C8(200μs) C9(480μs) C10(890μs)
WARNING: cpu: C-state exit-latency is max 890μs - up to that can add to networked and IPC request-reply latency
disk/sda: SanDisk X400 M.2  rev 0012  477G
nic/eth0: Intel Corporation Ethernet Connection I219-LM rev 21
nic/eth0/features: rx tx sg tso !ufo gso gro !lro rxvlan txvlan !ntuple rxhash ...
nic/eth0/coalesce: rxc: 3μs/0f/0μs-irq/0f-irq,  txc: 0μs/0f/0μs-irq/0f-irq
nic/eth0/status:   up, speed=1000, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
nic/wlan0: Intel Corporation Wireless 8260 rev 3a
nic/wlan0/features: !rx !tx sg !tso !ufo gso gro !lro !rxvlan !txvlan !ntuple !rxhash ...
nic/wlan0/coalesce: rxc: ?,  txc: ?
nic/wlan0/status:   down, speed=?, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
WARNING: nic/wlan0: TSO not enabled - TCP latency with packets > MSS will be poor
sw/python:          Python 2.7.14
sw/go:              go version go1.10 linux/amd64
sw/sqlite:          sqlite 3.22.0 (py mod 2.6.0)
sw/mysqld:          mysqld  Ver 10.1.29-MariaDB-6 for debian-linux-gnu on x86_64 (Debian buildd-unstable)
sw/neo:             v1.8.1-1580-g7c21fb98-dirty
sw/zodb:            5.3.0-12-g2115c90aa
sw/zeo:             5.1.1-7-gf9e4442d
sw/mysqlclient:     1.3.12
sw/wendelin.core:   v0.11-15-gf785ac0

*** neotest: node: (client)
date:	Mon, 05 Mar 2018 15:16:48 +0300
xnode:	neotest@rio.kirr.nexedi.com (2401:5180:0:2a::1 192.168.0.6)
uname:	Linux rio 4.15.0-1-amd64 #1 SMP Debian 4.15.4-1 (2018-02-18) x86_64 GNU/Linux
cpu:	Intel(R) Core(TM) i7-3770S CPU @ 3.10GHz
cpu/[0-7]/freq: intel_pstate/performance [3.10GHz - 3.10GHz]
cpu/[0-7]/idle: intel_idle/menu: POLL(0μs) C1(1μs) C1E(10μs) C3(59μs) C6(80μs)
WARNING: cpu: C-state exit-latency is max 80μs - up to that can add to networked and IPC request-reply latency
disk/sda: Samsung SSD 840   rev BB0Q 931.5G
nic/eth0: Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller rev 06
nic/eth0/features: rx !tx !sg !tso !ufo !gso gro !lro rxvlan txvlan !ntuple !rxhash ...
nic/eth0/coalesce: rxc: 200μs/4f/0μs-irq/0f-irq,  txc: 200μs/4f/0μs-irq/0f-irq
nic/eth0/status:   up, speed=1000, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
WARNING: nic/eth0: TSO not enabled - TCP latency with packets > MSS will be poor
WARNING: nic/eth0: RX coalesce latency is max 200μs - that will add to networked request-reply latency
nic/eth1: Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller rev 06
nic/eth1/features: rx !tx !sg !tso !ufo !gso gro !lro rxvlan txvlan !ntuple !rxhash ...
nic/eth1/coalesce: rxc: 0μs/1f/0μs-irq/0f-irq,  txc: 0μs/1f/0μs-irq/0f-irq
nic/eth1/status:   down, speed=?, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
WARNING: nic/eth1: TSO not enabled - TCP latency with packets > MSS will be poor
sw/python:          Python 2.7.14+
sw/go:              go version go1.10 linux/amd64
sw/sqlite:          sqlite 3.22.0 (py mod 2.6.0)
sw/mysqld:          mysqld  Ver 10.1.29-MariaDB-6 for debian-linux-gnu on x86_64 (Debian buildd-unstable)
sw/neo:             v1.8-1589-g7c21fb98
sw/zodb:            5.3.0
sw/zeo:             5.1.1
sw/mysqlclient:     1.3.12
sw/wendelin.core:   0.11

*** server cpu:
node:	deco
cluster:
Benchmarkpystone 1 218123 pystone/s	# POLL·0 C1·0 C1E·3 C3·13 C6·48 C7s·0 C8·60 C9·0 C10·8
Benchmarkpystone 1 215387 pystone/s	# POLL·0 C1·0 C1E·8 C3·15 C6·37 C7s·0 C8·71 C9·0 C10·5
Benchmarkpystone 1 218805 pystone/s	# POLL·0 C1·0 C1E·3 C3·10 C6·41 C7s·0 C8·64 C9·0 C10·5
Benchmarkpystone 1 213975 pystone/s	# POLL·1 C1·0 C1E·5 C3·20 C6·38 C7s·0 C8·72 C9·0 C10·3
Benchmarkpystone 1 212759 pystone/s	# POLL·0 C1·1 C1E·6 C3·16 C6·42 C7s·0 C8·71 C9·0 C10·2
Benchmarkadler32/py/1K 1338972	1.117 µs/op	# POLL·0 C1·1 C1E·3 C3·8 C6·36 C7s·0 C8·120 C9·0 C10·91
Benchmarkadler32/py/1K 1349692	1.097 µs/op	# POLL·0 C1·5 C1E·10 C3·9 C6·38 C7s·0 C8·108 C9·0 C10·55
Benchmarkadler32/py/1K 1347221	1.101 µs/op	# POLL·0 C1·0 C1E·4 C3·11 C6·34 C7s·0 C8·84 C9·0 C10·74
Benchmarkadler32/py/1K 1345911	1.102 µs/op	# POLL·0 C1·23 C1E·5 C3·18 C6·36 C7s·0 C8·102 C9·0 C10·81
Benchmarkadler32/py/1K 1343656	1.106 µs/op	# POLL·0 C1·4 C1E·7 C3·10 C6·37 C7s·0 C8·80 C9·0 C10·71
Benchmarkadler32/go/1K 3000000	0.561 µs/op	# POLL·1 C1·68 C1E·75 C3·28 C6·90 C7s·0 C8·216 C9·0 C10·361
Benchmarkadler32/go/1K 3000000	0.561 µs/op	# POLL·2 C1·88 C1E·67 C3·16 C6·70 C7s·0 C8·168 C9·0 C10·297
Benchmarkadler32/go/1K 3000000	0.561 µs/op	# POLL·2 C1·76 C1E·80 C3·17 C6·103 C7s·0 C8·157 C9·0 C10·268
Benchmarkadler32/go/1K 3000000	0.561 µs/op	# POLL·0 C1·76 C1E·81 C3·21 C6·79 C7s·0 C8·201 C9·0 C10·298
Benchmarkadler32/go/1K 3000000	0.562 µs/op	# POLL·0 C1·71 C1E·72 C3·30 C6·100 C7s·0 C8·199 C9·0 C10·336
Benchmarkadler32/py/4K 471556	2.249 µs/op	# POLL·0 C1·0 C1E·5 C3·6 C6·39 C7s·0 C8·73 C9·0 C10·58
Benchmarkadler32/py/4K 472242	2.242 µs/op	# POLL·0 C1·1 C1E·10 C3·5 C6·47 C7s·0 C8·91 C9·0 C10·71
Benchmarkadler32/py/4K 472788	2.237 µs/op	# POLL·0 C1·0 C1E·17 C3·7 C6·55 C7s·0 C8·91 C9·0 C10·52
Benchmarkadler32/py/4K 470117	2.258 µs/op	# POLL·0 C1·0 C1E·3 C3·8 C6·49 C7s·0 C8·99 C9·0 C10·63
Benchmarkadler32/py/4K 472862	2.234 µs/op	# POLL·0 C1·0 C1E·1 C3·5 C6·47 C7s·0 C8·91 C9·0 C10·69
Benchmarkadler32/go/4K 1000000	2.191 µs/op	# POLL·0 C1·70 C1E·66 C3·12 C6·90 C7s·0 C8·129 C9·0 C10·269
Benchmarkadler32/go/4K 1000000	2.192 µs/op	# POLL·0 C1·67 C1E·70 C3·30 C6·70 C7s·0 C8·125 C9·0 C10·266
Benchmarkadler32/go/4K 1000000	2.192 µs/op	# POLL·3 C1·82 C1E·74 C3·26 C6·72 C7s·0 C8·139 C9·0 C10·265
Benchmarkadler32/go/4K 1000000	2.191 µs/op	# POLL·0 C1·71 C1E·67 C3·18 C6·72 C7s·0 C8·153 C9·0 C10·257
Benchmarkadler32/go/4K 1000000	2.192 µs/op	# POLL·2 C1·71 C1E·59 C3·24 C6·69 C7s·0 C8·139 C9·0 C10·291
Benchmarkadler32/py/2M 1091	1677.482 µs/op	# POLL·0 C1·3 C1E·14 C3·10 C6·50 C7s·0 C8·123 C9·0 C10·146
Benchmarkadler32/py/2M 1089	1683.004 µs/op	# POLL·0 C1·1 C1E·7 C3·6 C6·58 C7s·0 C8·123 C9·0 C10·121
Benchmarkadler32/py/2M 1091	1676.820 µs/op	# POLL·0 C1·0 C1E·9 C3·12 C6·51 C7s·0 C8·120 C9·0 C10·104
Benchmarkadler32/py/2M 1091	1676.070 µs/op	# POLL·0 C1·2 C1E·5 C3·13 C6·50 C7s·0 C8·137 C9·0 C10·86
Benchmarkadler32/py/2M 1091	1675.711 µs/op	# POLL·0 C1·1 C1E·2 C3·15 C6·53 C7s·0 C8·139 C9·0 C10·84
Benchmarkadler32/go/2M 2000	1117.204 µs/op	# POLL·0 C1·32 C1E·101 C3·18 C6·71 C7s·0 C8·123 C9·0 C10·289
Benchmarkadler32/go/2M 2000	1117.233 µs/op	# POLL·2 C1·48 C1E·68 C3·11 C6·64 C7s·0 C8·147 C9·0 C10·297
Benchmarkadler32/go/2M 2000	1119.474 µs/op	# POLL·0 C1·33 C1E·86 C3·15 C6·67 C7s·0 C8·144 C9·0 C10·291
Benchmarkadler32/go/2M 2000	1118.157 µs/op	# POLL·1 C1·42 C1E·91 C3·17 C6·92 C7s·0 C8·159 C9·0 C10·284
Benchmarkadler32/go/2M 2000	1117.883 µs/op	# POLL·0 C1·51 C1E·100 C3·10 C6·74 C7s·0 C8·126 C9·0 C10·269
Benchmarkcrc32/py/1K 778710	1.317 µs/op	# POLL·0 C1·1 C1E·2 C3·15 C6·44 C7s·0 C8·95 C9·0 C10·73
Benchmarkcrc32/py/1K 779614	1.317 µs/op	# POLL·0 C1·2 C1E·4 C3·11 C6·44 C7s·0 C8·107 C9·0 C10·82
Benchmarkcrc32/py/1K 778580	1.316 µs/op	# POLL·0 C1·0 C1E·4 C3·11 C6·59 C7s·0 C8·96 C9·0 C10·69
Benchmarkcrc32/py/1K 772848	1.347 µs/op	# POLL·0 C1·0 C1E·18 C3·11 C6·57 C7s·0 C8·94 C9·0 C10·53
Benchmarkcrc32/py/1K 774044	1.329 µs/op	# POLL·0 C1·0 C1E·3 C3·10 C6·42 C7s·0 C8·101 C9·0 C10·43
Benchmarkcrc32/go/1K 20000000	0.092 µs/op	# POLL·2 C1·82 C1E·91 C3·18 C6·64 C7s·0 C8·144 C9·0 C10·213
Benchmarkcrc32/go/1K 20000000	0.092 µs/op	# POLL·1 C1·80 C1E·73 C3·23 C6·62 C7s·0 C8·143 C9·0 C10·244
Benchmarkcrc32/go/1K 20000000	0.092 µs/op	# POLL·0 C1·78 C1E·73 C3·14 C6·60 C7s·0 C8·143 C9·0 C10·235
Benchmarkcrc32/go/1K 20000000	0.092 µs/op	# POLL·1 C1·80 C1E·113 C3·25 C6·93 C7s·0 C8·183 C9·0 C10·256
Benchmarkcrc32/go/1K 20000000	0.092 µs/op	# POLL·1 C1·70 C1E·100 C3·18 C6·90 C7s·0 C8·183 C9·0 C10·228
Benchmarkcrc32/py/4K 228659	5.735 µs/op	# POLL·0 C1·0 C1E·4 C3·8 C6·37 C7s·0 C8·96 C9·0 C10·99
Benchmarkcrc32/py/4K 228991	5.716 µs/op	# POLL·0 C1·1 C1E·4 C3·12 C6·53 C7s·0 C8·95 C9·0 C10·58
Benchmarkcrc32/py/4K 228550	5.743 µs/op	# POLL·0 C1·0 C1E·4 C3·11 C6·43 C7s·0 C8·107 C9·0 C10·81
Benchmarkcrc32/py/4K 228840	5.719 µs/op	# POLL·0 C1·0 C1E·22 C3·22 C6·48 C7s·0 C8·111 C9·0 C10·76
Benchmarkcrc32/py/4K 228759	5.731 µs/op	# POLL·0 C1·0 C1E·5 C3·10 C6·49 C7s·0 C8·101 C9·0 C10·75
Benchmarkcrc32/go/4K 5000000	0.278 µs/op	# POLL·2 C1·78 C1E·116 C3·22 C6·51 C7s·0 C8·109 C9·0 C10·194
Benchmarkcrc32/go/4K 5000000	0.279 µs/op	# POLL·0 C1·88 C1E·60 C3·21 C6·65 C7s·0 C8·139 C9·0 C10·209
Benchmarkcrc32/go/4K 5000000	0.278 µs/op	# POLL·0 C1·69 C1E·69 C3·21 C6·82 C7s·0 C8·113 C9·0 C10·199
Benchmarkcrc32/go/4K 5000000	0.279 µs/op	# POLL·2 C1·87 C1E·100 C3·16 C6·77 C7s·0 C8·112 C9·0 C10·204
Benchmarkcrc32/go/4K 5000000	0.279 µs/op	# POLL·1 C1·92 C1E·62 C3·14 C6·73 C7s·0 C8·117 C9·0 C10·231
