>>> bench-local

*** neotest: node
date:	Mon, 05 Mar 2018 13:41:28 +0100
xnode:	test@neo1.kirr.nexedi.com (2001:67c:1254:e:d4::1 (+ 1·ipv6) 192.168.102.20)
uname:	Linux neo1 4.12.0-2-amd64 #1 SMP Debian 4.12.13-1 (2017-09-19) x86_64 GNU/Linux
cpu:	Intel(R) Core(TM) i7 CPU         860  @ 2.80GHz
cpu/[0-7]/freq: acpi-cpufreq/performance [2.80GHz - 2.80GHz]
cpu/[0-7]/idle: intel_idle/menu: POLL(0μs) C1(3μs) C1E(10μs) C3(20μs) C6(200μs)
WARNING: cpu: C-state exit-latency is max 200μs - up to that can add to networked and IPC request-reply latency
disk/sda: INTEL SSDSA2M080  rev 02HD 74.5G
nic/eth0: Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller rev 03
nic/eth0/features: rx !tx !sg !tso !ufo !gso gro !lro rxvlan txvlan !ntuple !rxhash ...
nic/eth0/coalesce: rxc: 200μs/4f/0μs-irq/0f-irq,  txc: 200μs/4f/0μs-irq/0f-irq
nic/eth0/status:   up, speed=1000, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
WARNING: nic/eth0: TSO not enabled - TCP latency with packets > MSS will be poor
WARNING: nic/eth0: RX coalesce latency is max 200μs - that will add to networked request-reply latency
sw/python:          Python 2.7.14+
sw/go:              go version go1.10 linux/amd64
sw/sqlite:          sqlite 3.22.0 (py mod 2.6.0)
sw/mysqld:          mysqld  Ver 10.1.29-MariaDB-6 for debian-linux-gnu on x86_64 (Debian buildd-unstable)
sw/neo:             v1.8-1589-g7c21fb9
sw/zodb:            5.3.0
sw/zeo:             5.1.1
sw/mysqlclient:     1.3.12
sw/wendelin.core:   0.11

*** cpu:

node:	neo1
cluster:
Benchmarkpystone 1 106105 pystone/s	# POLL·0 C1·1 C1E·1 C3·25 C6·256
Benchmarkpystone 1 106135 pystone/s	# POLL·0 C1·8 C1E·0 C3·37 C6·187
Benchmarkpystone 1 106913 pystone/s	# POLL·0 C1·7 C1E·6 C3·36 C6·285
Benchmarkpystone 1 106176 pystone/s	# POLL·0 C1·5 C1E·1 C3·21 C6·197
Benchmarkpystone 1 105523 pystone/s	# POLL·0 C1·13 C1E·0 C3·32 C6·218
Benchmarkadler32/py/1K 908954	1.193 µs/op	# POLL·1 C1·9 C1E·1 C3·24 C6·399
Benchmarkadler32/py/1K 921690	1.174 µs/op	# POLL·1 C1·10 C1E·3 C3·24 C6·277
Benchmarkadler32/py/1K 907401	1.224 µs/op	# POLL·1 C1·41 C1E·0 C3·26 C6·464
Benchmarkadler32/py/1K 897136	1.061 µs/op	# POLL·1 C1·27 C1E·0 C3·27 C6·371
Benchmarkadler32/py/1K 903679	1.204 µs/op	# POLL·2 C1·17 C1E·3 C3·17 C6·232
Benchmarkadler32/go/1K 2000000	0.768 µs/op	# POLL·4 C1·123 C1E·71 C3·73 C6·755
Benchmarkadler32/go/1K 2000000	0.767 µs/op	# POLL·3 C1·126 C1E·76 C3·94 C6·953
Benchmarkadler32/go/1K 2000000	0.767 µs/op	# POLL·3 C1·128 C1E·58 C3·83 C6·733
Benchmarkadler32/go/1K 2000000	0.767 µs/op	# POLL·6 C1·132 C1E·74 C3·78 C6·711
Benchmarkadler32/go/1K 2000000	0.768 µs/op	# POLL·1 C1·119 C1E·69 C3·95 C6·667
Benchmarkadler32/py/4K 369670	2.931 µs/op	# POLL·1 C1·18 C1E·1 C3·30 C6·359
Benchmarkadler32/py/4K 354475	3.170 µs/op	# POLL·0 C1·6 C1E·1 C3·26 C6·334
Benchmarkadler32/py/4K 354994	3.162 µs/op	# POLL·0 C1·0 C1E·1 C3·15 C6·254
Benchmarkadler32/py/4K 353572	3.201 µs/op	# POLL·0 C1·15 C1E·0 C3·17 C6·309
Benchmarkadler32/py/4K 355517	3.172 µs/op	# POLL·0 C1·25 C1E·2 C3·15 C6·254
Benchmarkadler32/go/4K 500000	3.045 µs/op	# POLL·2 C1·105 C1E·92 C3·69 C6·569
Benchmarkadler32/go/4K 500000	3.060 µs/op	# POLL·2 C1·124 C1E·95 C3·153 C6·1146
Benchmarkadler32/go/4K 500000	3.047 µs/op	# POLL·7 C1·142 C1E·79 C3·79 C6·498
Benchmarkadler32/go/4K 500000	3.067 µs/op	# POLL·3 C1·148 C1E·85 C3·71 C6·701
Benchmarkadler32/go/4K 500000	3.045 µs/op	# POLL·2 C1·101 C1E·73 C3·96 C6·732
