>>> bench-local

*** neotest: node
date:	Mon, 05 Mar 2018 14:03:41 +0300
xnode:	neotest@rio.kirr.nexedi.com (2401:5180:0:2a::1 192.168.0.6)
uname:	Linux rio 4.15.0-1-amd64 #1 SMP Debian 4.15.4-1 (2018-02-18) x86_64 GNU/Linux
cpu:	Intel(R) Core(TM) i7-3770S CPU @ 3.10GHz
cpu/[0-7]/freq: intel_pstate/performance [3.10GHz - 3.10GHz]
cpu/[0-7]/idle: intel_idle/menu: POLL(0μs) C1(1μs) C1E(10μs) C3(59μs) C6(80μs)
WARNING: cpu: C-state exit-latency is max 80μs - up to that can add to networked and IPC request-reply latency
disk/sda: Samsung SSD 840   rev BB0Q 931.5G
nic/eth0: Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller rev 06
nic/eth0/features: rx !tx !sg !tso !ufo !gso gro !lro rxvlan txvlan !ntuple !rxhash ...
nic/eth0/coalesce: rxc: 200μs/4f/0μs-irq/0f-irq,  txc: 200μs/4f/0μs-irq/0f-irq
nic/eth0/status:   up, speed=1000, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
WARNING: nic/eth0: TSO not enabled - TCP latency with packets > MSS will be poor
WARNING: nic/eth0: RX coalesce latency is max 200μs - that will add to networked request-reply latency
nic/eth1: Realtek Semiconductor Co., Ltd. RTL8111/8168/8411 PCI Express Gigabit Ethernet Controller rev 06
nic/eth1/features: rx !tx !sg !tso !ufo !gso gro !lro rxvlan txvlan !ntuple !rxhash ...
nic/eth1/coalesce: rxc: 0μs/1f/0μs-irq/0f-irq,  txc: 0μs/1f/0μs-irq/0f-irq
nic/eth1/status:   down, speed=?, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
WARNING: nic/eth1: TSO not enabled - TCP latency with packets > MSS will be poor
sw/python:          Python 2.7.14+
sw/go:              go version go1.10 linux/amd64
sw/sqlite:          sqlite 3.22.0 (py mod 2.6.0)
sw/mysqld:          mysqld  Ver 10.1.29-MariaDB-6 for debian-linux-gnu on x86_64 (Debian buildd-unstable)
sw/neo:             v1.8-1588-g916782b6
sw/zodb:            5.3.0
sw/zeo:             5.1.1
sw/mysqlclient:     1.3.12
sw/wendelin.core:   0.11

*** cpu:

node:	rio
cluster:
Benchmarkpystone 1 144446 pystone/s	# POLL·0 C1·2 C1E·7 C3·3 C6·154
Benchmarkpystone 1 147504 pystone/s	# POLL·0 C1·4 C1E·4 C3·10 C6·147
Benchmarkpystone 1 146969 pystone/s	# POLL·0 C1·12 C1E·4 C3·5 C6·142
Benchmarkpystone 1 145466 pystone/s	# POLL·0 C1·19 C1E·3 C3·10 C6·166
Benchmarkpystone 1 145452 pystone/s	# POLL·1 C1·2 C1E·2 C3·7 C6·134
Benchmarkadler32/py/1K 1437919	0.966 µs/op	# POLL·0 C1·38 C1E·15 C3·4 C6·223
Benchmarkadler32/py/1K 1434281	0.979 µs/op	# POLL·0 C1·22 C1E·5 C3·6 C6·220
Benchmarkadler32/py/1K 1437895	0.966 µs/op	# POLL·0 C1·38 C1E·9 C3·2 C6·218
Benchmarkadler32/py/1K 1437531	0.966 µs/op	# POLL·0 C1·21 C1E·4 C3·4 C6·197
Benchmarkadler32/py/1K 1435269	0.969 µs/op	# POLL·1 C1·11 C1E·0 C3·7 C6·184
Benchmarkadler32/go/1K 3000000	0.522 µs/op	# POLL·2 C1·140 C1E·145 C3·12 C6·482
Benchmarkadler32/go/1K 3000000	0.555 µs/op	# POLL·1 C1·175 C1E·93 C3·15 C6·535
Benchmarkadler32/go/1K 3000000	0.533 µs/op	# POLL·3 C1·119 C1E·95 C3·16 C6·461
Benchmarkadler32/go/1K 3000000	0.522 µs/op	# POLL·1 C1·145 C1E·95 C3·19 C6·538
Benchmarkadler32/go/1K 3000000	0.522 µs/op	# POLL·1 C1·125 C1E·91 C3·17 C6·461
Benchmarkadler32/py/4K 537027	2.080 µs/op	# POLL·0 C1·16 C1E·3 C3·4 C6·192
Benchmarkadler32/py/4K 517571	2.240 µs/op	# POLL·1 C1·26 C1E·12 C3·4 C6·195
Benchmarkadler32/py/4K 537099	2.079 µs/op	# POLL·0 C1·45 C1E·8 C3·8 C6·177
Benchmarkadler32/py/4K 535540	2.090 µs/op	# POLL·0 C1·41 C1E·3 C3·2 C6·204
Benchmarkadler32/py/4K 536480	2.083 µs/op	# POLL·0 C1·22 C1E·5 C3·1 C6·284
Benchmarkadler32/go/4K 1000000	2.040 µs/op	# POLL·0 C1·104 C1E·99 C3·14 C6·502
Benchmarkadler32/go/4K 1000000	2.040 µs/op	# POLL·0 C1·105 C1E·82 C3·17 C6·473
Benchmarkadler32/go/4K 1000000	2.041 µs/op	# POLL·1 C1·108 C1E·82 C3·15 C6·516
Benchmarkadler32/go/4K 1000000	2.081 µs/op	# POLL·2 C1·95 C1E·98 C3·26 C6·472
Benchmarkadler32/go/4K 1000000	2.118 µs/op	# POLL·1 C1·133 C1E·97 C3·19 C6·608
Benchmarkadler32/py/2M 1191	1407.266 µs/op	# POLL·0 C1·16 C1E·14 C3·3 C6·319
Benchmarkadler32/py/2M 1189	1411.640 µs/op	# POLL·0 C1·14 C1E·18 C3·4 C6·216
Benchmarkadler32/py/2M 1189	1410.847 µs/op	# POLL·1 C1·17 C1E·6 C3·8 C6·267
Benchmarkadler32/py/2M 1189	1411.686 µs/op	# POLL·0 C1·33 C1E·16 C3·3 C6·214
Benchmarkadler32/py/2M 1189	1411.167 µs/op	# POLL·1 C1·39 C1E·5 C3·2 C6·254
Benchmarkadler32/go/2M 2000	1040.632 µs/op	# POLL·1 C1·85 C1E·70 C3·18 C6·566
Benchmarkadler32/go/2M 2000	1040.256 µs/op	# POLL·1 C1·101 C1E·109 C3·15 C6·589
Benchmarkadler32/go/2M 2000	1039.782 µs/op	# POLL·3 C1·77 C1E·154 C3·19 C6·572
Benchmarkadler32/go/2M 2000	1041.486 µs/op	# POLL·0 C1·82 C1E·123 C3·9 C6·590
Benchmarkadler32/go/2M 2000	1040.385 µs/op	# POLL·3 C1·124 C1E·110 C3·6 C6·638
Benchmarkcrc32/py/1K 814364	1.355 µs/op	# POLL·0 C1·23 C1E·15 C3·1 C6·199
Benchmarkcrc32/py/1K 829566	1.307 µs/op	# POLL·1 C1·21 C1E·7 C3·5 C6·202
Benchmarkcrc32/py/1K 828340	1.310 µs/op	# POLL·0 C1·42 C1E·4 C3·2 C6·175
Benchmarkcrc32/py/1K 831521	1.301 µs/op	# POLL·1 C1·16 C1E·14 C3·4 C6·196
Benchmarkcrc32/py/1K 831301	1.301 µs/op	# POLL·0 C1·27 C1E·9 C3·4 C6·154
Benchmarkcrc32/go/1K 5000000	0.388 µs/op	# POLL·2 C1·141 C1E·81 C3·10 C6·501
Benchmarkcrc32/go/1K 5000000	0.408 µs/op	# POLL·2 C1·134 C1E·134 C3·22 C6·627
Benchmarkcrc32/go/1K 5000000	0.389 µs/op	# POLL·4 C1·228 C1E·89 C3·24 C6·595
Benchmarkcrc32/go/1K 5000000	0.388 µs/op	# POLL·0 C1·176 C1E·97 C3·10 C6·460
Benchmarkcrc32/go/1K 5000000	0.388 µs/op	# POLL·1 C1·133 C1E·96 C3·7 C6·502
Benchmarkcrc32/py/4K 251093	4.757 µs/op	# POLL·0 C1·28 C1E·5 C3·4 C6·192
Benchmarkcrc32/py/4K 251215	4.753 µs/op	# POLL·0 C1·6 C1E·5 C3·7 C6·243
Benchmarkcrc32/py/4K 250196	4.778 µs/op	# POLL·0 C1·12 C1E·13 C3·5 C6·208
Benchmarkcrc32/py/4K 250790	4.769 µs/op	# POLL·0 C1·21 C1E·8 C3·2 C6·288
Benchmarkcrc32/py/4K 251118	4.756 µs/op	# POLL·0 C1·13 C1E·6 C3·2 C6·216
Benchmarkcrc32/go/4K 1000000	1.488 µs/op	# POLL·1 C1·145 C1E·125 C3·18 C6·338
Benchmarkcrc32/go/4K 1000000	1.493 µs/op	# POLL·1 C1·66 C1E·99 C3·24 C6·460
Benchmarkcrc32/go/4K 1000000	1.487 µs/op	# POLL·0 C1·120 C1E·114 C3·19 C6·354
Benchmarkcrc32/go/4K 1000000	1.488 µs/op	# POLL·0 C1·101 C1E·93 C3·13 C6·361
Benchmarkcrc32/go/4K 1000000	1.488 µs/op	# POLL·0 C1·144 C1E·112 C3·15 C6·325
Benchmarkcrc32/py/2M 527	2152.158 µs/op	# POLL·0 C1·42 C1E·17 C3·5 C6·201
Benchmarkcrc32/py/2M 527	2152.457 µs/op	# POLL·0 C1·21 C1E·17 C3·5 C6·194
Benchmarkcrc32/py/2M 528	2149.814 µs/op	# POLL·0 C1·13 C1E·11 C3·6 C6·215
Benchmarkcrc32/py/2M 527	2159.980 µs/op	# POLL·2 C1·14 C1E·11 C3·7 C6·261
Benchmarkcrc32/py/2M 527	2152.483 µs/op	# POLL·0 C1·22 C1E·10 C3·3 C6·207
Benchmarkcrc32/go/2M 2000	752.311 µs/op	# POLL·2 C1·72 C1E·91 C3·5 C6·368
Benchmarkcrc32/go/2M 2000	752.565 µs/op	# POLL·0 C1·80 C1E·118 C3·13 C6·354
Benchmarkcrc32/go/2M 2000	752.345 µs/op	# POLL·0 C1·94 C1E·91 C3·21 C6·419
Benchmarkcrc32/go/2M 2000	752.841 µs/op	# POLL·0 C1·73 C1E·97 C3·9 C6·397
Benchmarkcrc32/go/2M 2000	752.946 µs/op	# POLL·0 C1·59 C1E·84 C3·19 C6·365
Benchmarksha1/py/1K 574260	1.819 µs/op	# POLL·0 C1·33 C1E·10 C3·3 C6·181
Benchmarksha1/py/1K 573736	1.822 µs/op	# POLL·0 C1·14 C1E·13 C3·6 C6·193
Benchmarksha1/py/1K 573695	1.821 µs/op	# POLL·0 C1·5 C1E·8 C3·4 C6·165
Benchmarksha1/py/1K 574046	1.817 µs/op	# POLL·0 C1·35 C1E·5 C3·5 C6·163
Benchmarksha1/py/1K 574302	1.818 µs/op	# POLL·0 C1·27 C1E·17 C3·7 C6·186
Benchmarksha1/go/1K 1000000	2.244 µs/op	# POLL·2 C1·120 C1E·86 C3·22 C6·434
Benchmarksha1/go/1K 1000000	2.245 µs/op	# POLL·1 C1·124 C1E·101 C3·8 C6·491
Benchmarksha1/go/1K 1000000	2.244 µs/op	# POLL·1 C1·114 C1E·102 C3·14 C6·444
Benchmarksha1/go/1K 1000000	2.245 µs/op	# POLL·0 C1·114 C1E·97 C3·17 C6·454
Benchmarksha1/go/1K 1000000	2.244 µs/op	# POLL·1 C1·126 C1E·102 C3·25 C6·415
Benchmarksha1/py/4K 158180	7.987 µs/op	# POLL·2 C1·26 C1E·16 C3·5 C6·191
Benchmarksha1/py/4K 158593	7.952 µs/op	# POLL·0 C1·15 C1E·6 C3·11 C6·182
Benchmarksha1/py/4K 157440	8.067 µs/op	# POLL·0 C1·33 C1E·11 C3·1 C6·208
Benchmarksha1/py/4K 158735	7.935 µs/op	# POLL·1 C1·6 C1E·5 C3·6 C6·207
Benchmarksha1/py/4K 156698	8.146 µs/op	# POLL·1 C1·15 C1E·3 C3·7 C6·190
Benchmarksha1/go/4K 200000	8.933 µs/op	# POLL·1 C1·124 C1E·103 C3·5 C6·419
Benchmarksha1/go/4K 200000	8.937 µs/op	# POLL·1 C1·106 C1E·103 C3·15 C6·418
Benchmarksha1/go/4K 200000	8.932 µs/op	# POLL·0 C1·129 C1E·98 C3·18 C6·374
Benchmarksha1/go/4K 200000	8.990 µs/op	# POLL·1 C1·108 C1E·109 C3·21 C6·417
Benchmarksha1/go/4K 200000	12.856 µs/op	# POLL·4 C1·135 C1E·99 C3·12 C6·541
Benchmarksha1/py/2M 259	3581.937 µs/op	# POLL·0 C1·13 C1E·4 C3·4 C6·152
Benchmarksha1/py/2M 259	3574.698 µs/op	# POLL·0 C1·9 C1E·11 C3·2 C6·186
Benchmarksha1/py/2M 259	3575.468 µs/op	# POLL·1 C1·26 C1E·8 C3·2 C6·168
Benchmarksha1/py/2M 259	3584.921 µs/op	# POLL·0 C1·17 C1E·5 C3·6 C6·189
Benchmarksha1/py/2M 260	3566.232 µs/op	# POLL·1 C1·12 C1E·4 C3·2 C6·214
Benchmarksha1/go/2M 300	4612.839 µs/op	# POLL·0 C1·73 C1E·141 C3·14 C6·394
Benchmarksha1/go/2M 300	4612.218 µs/op	# POLL·0 C1·69 C1E·79 C3·18 C6·410
Benchmarksha1/go/2M 300	4612.176 µs/op	# POLL·2 C1·82 C1E·85 C3·8 C6·412
Benchmarksha1/go/2M 300	4612.064 µs/op	# POLL·0 C1·86 C1E·76 C3·9 C6·392
Benchmarksha1/go/2M 300	4612.280 µs/op	# POLL·0 C1·72 C1E·98 C3·12 C6·435
Benchmarkunzlib/py/null-1K 379237	2.778 µs/op	# POLL·0 C1·10 C1E·10 C3·5 C6·189
Benchmarkunzlib/py/null-1K 383809	2.713 µs/op	# POLL·0 C1·24 C1E·8 C3·5 C6·195
Benchmarkunzlib/py/null-1K 384324	2.706 µs/op	# POLL·0 C1·37 C1E·4 C3·4 C6·191
Benchmarkunzlib/py/null-1K 381796	2.741 µs/op	# POLL·0 C1·28 C1E·4 C3·4 C6·163
Benchmarkunzlib/py/null-1K 375310	2.819 µs/op	# POLL·2 C1·8 C1E·9 C3·5 C6·176
Benchmarkunzlib/go/null-1K 500000	2.787 µs/op	# POLL·1 C1·499 C1E·284 C3·30 C6·2003
Benchmarkunzlib/go/null-1K 500000	2.789 µs/op	# POLL·0 C1·628 C1E·207 C3·32 C6·1996
Benchmarkunzlib/go/null-1K 500000	2.774 µs/op	# POLL·0 C1·571 C1E·210 C3·27 C6·2077
Benchmarkunzlib/go/null-1K 500000	2.787 µs/op	# POLL·0 C1·474 C1E·242 C3·35 C6·2117
Benchmarkunzlib/go/null-1K 500000	2.783 µs/op	# POLL·3 C1·559 C1E·269 C3·22 C6·2051
Benchmarkunzlib/py/null-4K 95696	10.932 µs/op	# POLL·1 C1·35 C1E·5 C3·2 C6·173
Benchmarkunzlib/py/null-4K 95689	10.918 µs/op	# POLL·0 C1·19 C1E·7 C3·4 C6·173
Benchmarkunzlib/py/null-4K 95542	10.948 µs/op	# POLL·1 C1·7 C1E·2 C3·7 C6·174
Benchmarkunzlib/py/null-4K 95658	10.921 µs/op	# POLL·1 C1·23 C1E·13 C3·5 C6·174
Benchmarkunzlib/py/null-4K 95383	10.983 µs/op	# POLL·1 C1·21 C1E·11 C3·10 C6·190
Benchmarkunzlib/go/null-4K 200000	11.142 µs/op	# POLL·0 C1·996 C1E·279 C3·31 C6·3175
Benchmarkunzlib/go/null-4K 200000	11.182 µs/op	# POLL·2 C1·1064 C1E·310 C3·26 C6·3148
Benchmarkunzlib/go/null-4K 200000	11.151 µs/op	# POLL·2 C1·1120 C1E·290 C3·16 C6·3138
Benchmarkunzlib/go/null-4K 200000	11.161 µs/op	# POLL·1 C1·1002 C1E·278 C3·22 C6·3186
Benchmarkunzlib/go/null-4K 200000	11.152 µs/op	# POLL·0 C1·1026 C1E·334 C3·24 C6·3185
Benchmarkunzlib/py/null-2M 191	5261.664 µs/op	# POLL·0 C1·17 C1E·5 C3·4 C6·164
Benchmarkunzlib/py/null-2M 192	5407.820 µs/op	# POLL·0 C1·24 C1E·10 C3·4 C6·183
Benchmarkunzlib/py/null-2M 191	5227.598 µs/op	# POLL·0 C1·35 C1E·3 C3·1 C6·193
Benchmarkunzlib/py/null-2M 191	5117.242 µs/op	# POLL·1 C1·12 C1E·8 C3·4 C6·201
Benchmarkunzlib/py/null-2M 194	5111.349 µs/op	# POLL·0 C1·13 C1E·3 C3·4 C6·181
Benchmarkunzlib/go/null-2M 300	4715.525 µs/op	# POLL·8 C1·1178 C1E·5942 C3·34 C6·4852
Benchmarkunzlib/go/null-2M 300	4715.725 µs/op	# POLL·6 C1·1138 C1E·6034 C3·60 C6·5000
Benchmarkunzlib/go/null-2M 300	4710.865 µs/op	# POLL·3 C1·1325 C1E·5918 C3·32 C6·4945
Benchmarkunzlib/go/null-2M 300	4719.106 µs/op	# POLL·6 C1·1054 C1E·5997 C3·48 C6·4979
Benchmarkunzlib/go/null-2M 300	4722.811 µs/op	# POLL·9 C1·1147 C1E·6072 C3·41 C6·4924
Benchmarkunzlib/py/wczdata 36129	31.210 µs/op	# POLL·1 C1·21 C1E·9 C3·3 C6·235
Benchmarkunzlib/py/wczdata 44682	24.981 µs/op	# POLL·0 C1·10 C1E·5 C3·5 C6·228
Benchmarkunzlib/py/wczdata 44749	24.979 µs/op	# POLL·1 C1·3 C1E·2 C3·7 C6·211
Benchmarkunzlib/py/wczdata 44613	25.097 µs/op	# POLL·0 C1·21 C1E·15 C3·7 C6·179
Benchmarkunzlib/py/wczdata 44748	24.980 µs/op	# POLL·0 C1·19 C1E·4 C3·2 C6·188
Benchmarkunzlib/go/wczdata 100000	23.016 µs/op	# POLL·0 C1·539 C1E·182 C3·23 C6·2230
Benchmarkunzlib/go/wczdata 100000	23.019 µs/op	# POLL·0 C1·595 C1E·307 C3·23 C6·2241
Benchmarkunzlib/go/wczdata 100000	23.011 µs/op	# POLL·0 C1·680 C1E·197 C3·25 C6·2214
Benchmarkunzlib/go/wczdata 100000	22.997 µs/op	# POLL·0 C1·602 C1E·227 C3·14 C6·2209
Benchmarkunzlib/go/wczdata 100000	23.066 µs/op	# POLL·0 C1·700 C1E·209 C3·26 C6·2159
Benchmarkunzlib/py/prod1-avg 204782	7.152 µs/op	# POLL·0 C1·20 C1E·10 C3·6 C6·182
Benchmarkunzlib/py/prod1-avg 203945	7.207 µs/op	# POLL·0 C1·6 C1E·7 C3·6 C6·194
Benchmarkunzlib/py/prod1-avg 202802	7.271 µs/op	# POLL·0 C1·12 C1E·7 C3·7 C6·221
Benchmarkunzlib/py/prod1-avg 204296	7.170 µs/op	# POLL·0 C1·12 C1E·7 C3·5 C6·211
Benchmarkunzlib/py/prod1-avg 200682	7.434 µs/op	# POLL·1 C1·24 C1E·6 C3·3 C6·182
Benchmarkunzlib/go/prod1-avg 300000	5.062 µs/op	# POLL·3 C1·672 C1E·233 C3·25 C6·1773
Benchmarkunzlib/go/prod1-avg 300000	5.079 µs/op	# POLL·0 C1·522 C1E·253 C3·18 C6·1886
Benchmarkunzlib/go/prod1-avg 300000	5.072 µs/op	# POLL·0 C1·518 C1E·167 C3·41 C6·1828
Benchmarkunzlib/go/prod1-avg 300000	5.074 µs/op	# POLL·0 C1·547 C1E·167 C3·25 C6·1833
Benchmarkunzlib/go/prod1-avg 300000	5.078 µs/op	# POLL·0 C1·630 C1E·186 C3·18 C6·1841
Benchmarkunzlib/py/prod1-max 3655	299.392 µs/op	# POLL·0 C1·8 C1E·10 C3·7 C6·224
Benchmarkunzlib/py/prod1-max 3660	298.304 µs/op	# POLL·1 C1·37 C1E·9 C3·3 C6·174
