>>> bench-local

*** neotest: node
date:	Mon, 05 Mar 2018 14:33:01 +0200
xnode:	neotest@z6001.ivan.nexedi.com (2401:5180:0:6f::1 192.168.0.16)
uname:	Linux z6001-COMP-2784 4.13.0-36-generic #40-Ubuntu SMP Fri Feb 16 20:07:48 UTC 2018 x86_64 x86_64 x86_64 GNU/Linux
cpu:	Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz
cpu/[0-23]/freq: acpi-cpufreq/performance [2.66GHz - 2.66GHz]
cpu/[0-23]/idle: intel_idle/menu: POLL(0μs) C1(3μs) C1E(10μs) C3(20μs) C6(200μs)
WARNING: cpu: C-state exit-latency is max 200μs - up to that can add to networked and IPC request-reply latency
disk/sda: ADATA SU800       rev 8BS  119,2G
nic/enp1s0: Broadcom Limited NetXtreme BCM5764M Gigabit Ethernet PCIe rev 10
nic/enp1s0/features: rx tx sg tso !ufo gso gro !lro rxvlan txvlan !ntuple !rxhash ...
nic/enp1s0/coalesce: rxc: 20μs/5f/0μs-irq/5f-irq,  txc: 72μs/53f/0μs-irq/5f-irq
nic/enp1s0/status:   up, speed=1000, mtu=1500, txqlen=1000, gro_flush_timeout=0.000µs
WARNING: nic/enp1s0: RX coalesce latency is max 20μs - that will add to networked request-reply latency
sw/python:          Python 2.7.12
sw/go:              go version go1.10 linux/amd64
sw/sqlite:          sqlite 3.22.0 (py mod 2.6.0)
sw/mysqld:          mysqld  Ver 10.1.25-MariaDB-1 for debian-linux-gnu on x86_64 (Ubuntu 17.10)
sw/neo:             v1.8-1589-g7c21fb9
sw/zodb:            5.3.0
sw/zeo:             5.1.1
sw/mysqlclient:     1.3.12
sw/wendelin.core:   0.11

*** cpu:

node:	z6001
cluster:
Benchmarkpystone 1 116106 pystone/s	# POLL·0 C1·82 C1E·0 C3·20 C6·359
Benchmarkpystone 1 113708 pystone/s	# POLL·0 C1·61 C1E·1 C3·17 C6·327
Benchmarkpystone 1 113468 pystone/s	# POLL·0 C1·76 C1E·0 C3·21 C6·402
Benchmarkpystone 1 103554 pystone/s	# POLL·4 C1·85 C1E·4 C3·15 C6·338
Benchmarkpystone 1 113983 pystone/s	# POLL·2 C1·106 C1E·4 C3·10 C6·457
Benchmarkadler32/py/1K 1049760	1.830 µs/op	# POLL·0 C1·81 C1E·2 C3·8 C6·503
Benchmarkadler32/py/1K 1020061	1.920 µs/op	# POLL·0 C1·60 C1E·0 C3·19 C6·472
Benchmarkadler32/py/1K 1028819	1.888 µs/op	# POLL·3 C1·80 C1E·0 C3·16 C6·524
Benchmarkadler32/py/1K 1019441	1.921 µs/op	# POLL·1 C1·91 C1E·5 C3·101 C6·1336
Benchmarkadler32/py/1K 1037882	1.872 µs/op	# POLL·0 C1·90 C1E·2 C3·20 C6·617
Benchmarkadler32/go/1K 2000000	0.803 µs/op	# POLL·1 C1·163 C1E·151 C3·114 C6·1199
Benchmarkadler32/go/1K 2000000	0.808 µs/op	# POLL·8 C1·125 C1E·123 C3·108 C6·1103
Benchmarkadler32/go/1K 2000000	0.811 µs/op	# POLL·3 C1·192 C1E·131 C3·105 C6·1360
Benchmarkadler32/go/1K 2000000	0.811 µs/op	# POLL·3 C1·195 C1E·118 C3·150 C6·1974
Benchmarkadler32/go/1K 2000000	0.803 µs/op	# POLL·9 C1·103 C1E·130 C3·139 C6·1286
Benchmarkadler32/py/4K 383271	2.722 µs/op	# POLL·0 C1·80 C1E·1 C3·15 C6·403
Benchmarkadler32/py/4K 383266	2.722 µs/op	# POLL·1 C1·86 C1E·0 C3·27 C6·520
Benchmarkadler32/py/4K 383869	2.714 µs/op	# POLL·2 C1·60 C1E·1 C3·15 C6·406
Benchmarkadler32/py/4K 384662	2.702 µs/op	# POLL·0 C1·76 C1E·1 C3·17 C6·443
Benchmarkadler32/py/4K 384138	3.240 µs/op	# POLL·2 C1·170 C1E·3 C3·11 C6·565
Benchmarkadler32/go/4K 500000	3.213 µs/op	# POLL·1 C1·168 C1E·109 C3·84 C6·692
Benchmarkadler32/go/4K 500000	3.211 µs/op	# POLL·0 C1·163 C1E·119 C3·65 C6·979
Benchmarkadler32/go/4K 500000	3.207 µs/op	# POLL·0 C1·137 C1E·119 C3·119 C6·945
Benchmarkadler32/go/4K 500000	3.212 µs/op	# POLL·9 C1·207 C1E·126 C3·95 C6·877
Benchmarkadler32/go/4K 500000	3.207 µs/op	# POLL·4 C1·203 C1E·148 C3·64 C6·1044
Benchmarkadler32/py/2M 854	1231.503 µs/op	# POLL·0 C1·76 C1E·3 C3·9 C6·470
Benchmarkadler32/py/2M 855	1228.094 µs/op	# POLL·3 C1·94 C1E·3 C3·32 C6·508
Benchmarkadler32/py/2M 857	1222.006 µs/op	# POLL·0 C1·76 C1E·3 C3·19 C6·570
Benchmarkadler32/py/2M 855	1229.086 µs/op	# POLL·0 C1·83 C1E·1 C3·14 C6·537
Benchmarkadler32/py/2M 856	1225.068 µs/op	# POLL·0 C1·79 C1E·1 C3·18 C6·684
Benchmarkadler32/go/2M 1000	1678.478 µs/op	# POLL·6 C1·159 C1E·148 C3·62 C6·963
Benchmarkadler32/go/2M 1000	1619.877 µs/op	# POLL·1 C1·138 C1E·124 C3·58 C6·996
Benchmarkadler32/go/2M 1000	1620.112 µs/op	# POLL·2 C1·135 C1E·146 C3·83 C6·967
Benchmarkadler32/go/2M 1000	1618.454 µs/op	# POLL·5 C1·127 C1E·150 C3·52 C6·1064
Benchmarkadler32/go/2M 1000	1767.627 µs/op	# POLL·3 C1·141 C1E·134 C3·80 C6·954
Benchmarkcrc32/py/1K 635664	1.733 µs/op	# POLL·1 C1·78 C1E·2 C3·23 C6·499
Benchmarkcrc32/py/1K 641248	1.702 µs/op	# POLL·2 C1·60 C1E·0 C3·24 C6·508
Benchmarkcrc32/py/1K 642037	1.699 µs/op	# POLL·1 C1·98 C1E·2 C3·12 C6·403
Benchmarkcrc32/py/1K 635566	1.731 µs/op	# POLL·1 C1·90 C1E·2 C3·7 C6·473
Benchmarkcrc32/py/1K 638863	1.717 µs/op	# POLL·2 C1·74 C1E·1 C3·9 C6·463
Benchmarkcrc32/go/1K 3000000	0.458 µs/op	# POLL·2 C1·202 C1E·170 C3·98 C6·835
Benchmarkcrc32/go/1K 3000000	0.458 µs/op	# POLL·2 C1·216 C1E·140 C3·88 C6·984
Benchmarkcrc32/go/1K 3000000	0.458 µs/op	# POLL·4 C1·193 C1E·135 C3·77 C6·826
Benchmarkcrc32/go/1K 3000000	0.458 µs/op	# POLL·3 C1·205 C1E·120 C3·103 C6·897
